"MaximumPressure","MinimumPressure","MaximumTemperature","MinimumTemperature","MaximumRelativeHumidity","MinimumRelativeHumidity","Precipitation","TotalEvaporation","SunshineDuration","WindDirection","WindSpeed"
1014,1007.2,36.4,17.7,83,18,0,6.5,9.5,190,2.1092204
1012.6,1006.2,37.7,18.2,74,22,0,7.5,9.6,250,4.6814404
1014,1007.9,35.9,18.2,77,27,0,5.3,8.6,310,2.3664424
1014,1008.2,37,18.3,74,23,0,6,9.3,260,1.2346656
1013.6,1006.8,37.6,17.2,78,20,0,6.94,9.7,150,4.4242184
1013.3,1007.5,37.2,18.2,71,21,0,8.38,9.5,200,5.916106
1014.6,1008.2,37.4,17.2,75,17,0,6.92,9.8,180,3.4982192
1014.3,1007.9,36.6,15.6,73,18,0,5.34,9.4,180,2.2121092
1013.3,1006.8,37.3,16.5,62,18,0,7.72,9.5,180,5.14444
1012.3,1005.8,37.4,16,78,15,0,7.6,9.9,200,4.1669964
1011.6,1004.8,36.7,17,67,20,0,8.06,9.6,200,5.0929956
1010.6,1004.8,35.8,18,66,22,0,8.07,9.7,290,3.343886
1009.6,1003.1,36.9,20.8,66,19,0,7.61,9.3,270,4.887218
1009.9,1003.5,35.4,16.3,61,21,0,6.7,10,290,2.829442
1012.3,1006.2,34.4,15.1,63,21,0,3.89,9.2,140,1.3375544
1014,1006.8,34.8,18.2,60,18,0,4.84,8.1,270,1.7491096
1013.3,1006.8,37,15.2,75,21,0,6.16,8,210,2.4693312
1011.2,1005.8,35.4,17.7,71,27,0,9.6,4.6,190,2.57222
1012.9,1006.5,38.1,19,72,24,0,6.78,9.3,190,3.1381084
1014,1008.2,38.5,18.9,78,23,0,6.8,9.7,360,2.829442
1014,1007.9,38.5,19.5,70,21,0,3.2,8.9,230,2.057776
1013.6,1007.2,37.6,20.3,60,26,0,4.1,4.3,180,1.7491096
1012.6,1006.2,38.5,20.5,58,23,0,6.75,8,190,4.2698852
1011.9,1004.8,38,20,67,19,0,7.85,8.9,220,3.85833
1012.6,1006.2,38.3,19.9,61,15,0,5.8,7.8,200,5.2987732
1013.3,1006.2,38.5,18.4,65,15,0,9.42,9.5,190,4.2698852
1014,1007.2,38.9,17.7,70,9,0,7.98,9.4,210,2.7779976
1014.6,1006.8,36.8,18.1,56,22,0,3.64,8,260,2.314998
1012.9,1006.8,36,19,73,27,0,5.06,6.3,230,1.4404432
1013.3,1007.2,37.6,20.5,75,24,0,4.95,8.1,150,3.7554412
1014.3,1007.5,37.3,22.1,77,27,0,5.94,8.4,190,5.1958844
1014.6,1008.5,38,21.4,78,34,0,7.08,6.8,170,4.0126632
1017,1010,36.3,22,80,30,0,6.84,9,270,3.2409972
1017.7,1010.6,36.8,22.4,77,37,0,7.3,8.5,260,5.1958844
1014.4,1007.2,36.6,23.4,71,33,0,5.54,7.9,220,5.6074396
1012.9,1007.2,38.8,22.4,81,28,0,6.77,8.2,150,1.5947764
1013.6,1007.9,38,20.2,69,24,0,6.05,9.2,190,3.343886
1014,1007.9,35.4,25.2,71,34,0,5.83,7.6,230,5.8132172
1015.3,1009.2,35.8,22,80,38,0,6.45,8.5,190,4.887218
1015.8,1009.9,37.2,22.6,80,34,0,6.19,7.9,200,2.9837752
1015.3,1010.2,37,21.6,86,44,9.7,6.23,7.3,270,5.1958844
1012.9,1005.2,37.5,21.2,97,33,0,7.04,8.6,230,3.086664
1011.6,1004.8,37.5,21.2,80,25,0,6.22,9.5,240,1.6976652
1011.2,1004.8,37.4,20.6,74,18,0,5.44,8.7,270,1.9548872
1010.6,1005.2,38.3,21,78,20,0,5.5,9.4,220,3.5496636
1011.9,1004.8,37.8,21,75,30,0,6.81,9.3,280,1.5947764
1009.9,1002.8,39.2,22.6,74,24,0,7.54,9.2,170,3.7554412
1007.9,1002.8,39.7,23,69,21,0,5.48,8.9,140,2.1092204
1010.6,1004.8,39.9,22.9,74,28,0,6.67,9.7,160,1.1832212
1010.9,1005.8,38.9,24.6,71,33,0,4.55,8.2,250,0.5658884
1011.6,1005.5,38.5,24.8,74,28,0.5,6.81,7.1,230,5.1958844
1012.3,1006.5,36.3,22.3,80,36,1.3,3.87,7.5,260,4.0126632
1013.3,1007.2,34.4,23.3,91,44,0,6.62,8,160,3.85833
1012.9,1006.8,34.1,22.2,84,44,0,5.5,7.3,210,2.314998
1011.9,1006.5,35.3,22,85,32,0,5.72,7.6,40,2.1092204
1012.6,1006.5,38,22.2,78,22,0,9.72,10.7,180,5.916106
1011.9,1005.5,39.2,23.2,67,26,0,8.01,9.7,180,5.3502176
1011.6,1005.8,38.9,23,73,30,0,7.86,8.1,270,4.372774
1012.6,1005.8,38.2,24,63,31,0,7.8,10,350,4.3213296
1012.6,1006.2,38.8,24.2,64,28,0,6.88,8.3,230,2.6236644
1010.9,1004.5,40.1,23.7,67,25,0,9.6,9.5,210,2.829442
1009.2,1004.1,39,23.4,67,32,0,6.8,8.3,330,3.1381084
1009.6,1003.8,39.5,25,71,27,0,8.38,8.8,120,3.85833
1010.2,1003.8,39.7,25.4,64,26,0,8.74,9.7,220,4.629996
1009.9,1003.8,38.9,24.9,65,28,0,7.81,8.5,230,4.8357736
1009.2,1004.1,39.4,26.1,64,30,0,6.56,9.2,190,4.2698852
1010.9,1005.2,39.9,25.2,68,27,8.3,11.38,8,180,5.9675504
1010.9,1004.5,39.5,23.9,87,29,0,8.2,9,190,4.6814404
1008.9,1002.1,39.6,23.5,83,28,0,7.62,10.3,150,2.8808864
1009.6,1004.1,38.6,22.1,90,29,11.6,11.52,10.7,210,4.4242184
1012.6,1006.5,38.3,23.1,94,35,0,8.65,10.3,140,3.8068856
1014.3,1008.2,37.8,24.6,75,34,0.3,6.13,8.1,230,5.8646616
1012.6,1005.8,37.9,24,87,54,0,6.52,8.8,240,4.6814404
1009.6,1003.1,39,24.6,81,33,0,7.08,8,240,4.115552
1007.9,1002,39.4,27,74,28,6.7,9.26,10.6,170,4.1669964
1010.6,1004.1,35.5,24.6,93,52,2.5,4.34,5.4,10,4.3213296
1008.5,1002.8,38.5,24.8,84,44,15.8,8.6,8,210,1.5947764
1011.2,1005.5,34.5,22.3,96,56,1,5.08,6.4,230,5.14444
1011.2,1004.8,35,24,96,58,0,1.92,7.3,180,4.7843292
1009.6,1003.8,35.5,24.4,90,57,0,5.74,7.6,230,2.3664424
1009.6,1003.5,37.4,24.5,89,40,12.8,9.23,9.5,180,5.8132172
1009.9,1004.5,35.6,25.1,96,52,76.9,5,5.9,20,2.1092204
1012.9,1007.5,30.8,23.7,97,63,2.2,3.11,0.2,330,1.4404432
1011.6,1007.2,27.4,24.4,98,90,16.9,1.94,0,260,1.4918876
1009.9,1006.2,32.3,23.3,97,72,5.4,4.16,0.3,220,4.8357736
1011.6,1007.9,30.6,23.9,97,68,0.6,3.56,0.3,190,2.7779976
1010.6,1004.8,36.2,24.3,94,52,0,5.72,5,240,2.1092204
1009.6,1003.5,34.9,24.8,93,51,0,5.74,8.6,220,3.2409972
1008.4,1003.5,35.5,24.3,88,46,0,6.82,10.3,210,2.2635536
1009.6,1004.8,34.5,25.2,89,68,0.6,5.31,4.8,190,3.7554412
1008.9,1004.8,32.5,25.4,89,62,9.5,3.25,5.7,200,3.8068856
1009.6,1005.2,34,25.1,92,55,6.8,6.02,6.2,180,4.0126632
1008.5,1003.8,36.5,25.3,95,55,1.9,6.44,8.6,230,3.2924416
1006.5,1001.4,34,24.7,93,56,1.5,5.08,6.7,190,3.0352196
1005.8,1001.4,34.6,25.3,90,54,0,5.52,6.4,260,3.2924416
1007.5,1002.8,36.1,25.8,92,49,0,7.35,8.1,210,3.343886
1007.9,1003.5,36,26.2,91,59,0,5.77,6.5,220,3.7554412
1006.5,1001.1,35.5,24.8,87,57,0,6.58,8,140,4.8357736
1006.8,1001.8,36.2,25,88,48,1.6,5.7,6.5,130,1.7491096
1008.9,1003.5,34.4,25.1,95,59,0,6.93,5,280,3.1381084
1009.6,1003.8,37.2,24.7,89,47,0,7.12,9.6,10,3.343886
1008.3,1002.8,35.5,23.9,85,49,12.2,7.68,3.6,320,3.9097744
1009.2,1003.8,33.6,23.5,93,57,0,4.33,5,160,3.3953304
1007.9,1002.4,36.5,24.3,87,47,0,7.21,9.3,190,3.7554412
1007.2,1001.4,36.8,24.4,88,43,0,6.73,9.5,190,4.7843292
1008.2,1004.1,32.4,24.3,96,60,0,5.32,4.2,190,3.9097744
1009.2,1004.1,35.5,24.8,87,46,0,4.16,3.2,220,5.1958844
1008.5,1003.5,34.9,24.7,91,47,6.5,7.44,6.9,190,5.8646616
1008.2,1003.8,36.2,24.4,98,53,1.4,6.28,8.3,360,2.8808864
1009.7,1005.5,35.6,24.5,98,50,0,7.07,10.2,220,4.0126632
1010.6,1005.5,36,24.6,95,49,0,5.26,9.8,220,5.2987732
1008.9,1003.7,37.3,25.7,84,46,0,10.2,10,240,6.2247724
1005.8,1000.8,36,25.1,81,47,0,6.36,7.3,240,2.9837752
1006.8,1002.4,35.9,26.2,80,45,0,6.28,3.7,220,5.1958844
1007.5,1003.8,35.3,25.3,77,51,0,5.29,4.3,190,5.1958844
1006.5,1002.1,35.3,24.4,88,46,0,5.87,3.3,160,2.3664424
1006.8,1001.8,36.1,26.1,80,45,0,6.73,6.5,220,4.887218
1006.8,1001.8,35.4,25.1,77,46,0,5.31,4.4,190,3.8068856
1007.2,1003.5,33.5,25.3,88,55,0,4.39,3.1,190,3.85833
1006.8,1002.4,34.4,25.4,85,53,1.2,4.97,4.7,220,2.6236644
1005.8,1001.8,35.2,24.9,84,47,0,4.97,1.9,250,2.5207756
1004.8,1000.8,35.7,25.1,81,49,0.3,4.5,3.5,250,2.8808864
1007.2,1002.8,32.7,24.5,98,59,10.8,5.18,3.1,190,4.7843292
1007.5,1004.1,30.3,24.4,99,70,11,4.59,1.6,140,4.0126632
1006.9,1003.1,33.2,24.6,98,73,15.2,5.01,1.3,260,2.0063316
1006.2,1001.4,32.4,24.8,95,67,6.2,4.83,4.8,210,2.8808864
1005.8,1001.8,31.6,24.5,97,68,5.9,4.47,5.4,230,4.115552
1007.5,1004.1,33.2,24.9,95,61,1.7,4.74,1.9,230,2.2121092
1009.3,1006.5,28.2,24.5,99,74,19.5,1.82,0,210,3.086664
1010.9,1007.2,25.3,23.1,99,92,25.5,0.94,0,190,3.6525524
1011.2,1007.5,26.9,22.6,98,84,9.3,1.52,0,210,4.5271072
1010.2,1006.5,28.6,23.5,99,79,5.1,2.06,0,240,2.9837752
1009.2,1004.5,32.2,23.9,95,65,0,3.26,1.1,240,3.8068856
1007.5,1003.1,32.4,24.1,92,64,0.1,4.42,6.9,190,2.829442
1007.5,1004.8,31.9,24,96,67,1.3,3.34,1.7,180,4.0641076
1007.9,1005.5,29.4,24,98,71,0,2.41,0.2,210,3.8068856
1008.9,1006.2,30,23.7,97,72,4.1,2.39,0,270,1.2346656
1009,1005.2,30.1,23,98,69,0,3.22,0.7,250,1.1832212
1008.9,1005.8,31.5,24.3,92,61,0,4.38,2.4,210,4.7843292
1009.6,1006.2,31.7,24.5,93,65,0,3.55,0.8,230,4.2698852
1009.9,1006.5,31,25,90,67,2.3,2.54,0.4,210,2.2635536
1008.9,1005.5,30.2,25,95,70,1.9,3.39,0,230,1.800554
1008.2,1004.8,33.4,24.3,97,63,0,4.12,4.2,250,2.6236644
1010.2,1006.2,35,24.6,93,56,0,7.54,10.6,170,5.14444
1010.2,1004.8,35.5,23.1,84,50,0,7.32,11.4,150,1.1832212
1007.9,1003.1,35.2,24,90,56,0,6.05,7.8,240,2.6236644
1006.5,1000.8,36.1,23.9,92,49,0,6.91,10.4,250,3.8068856
1006.2,1001.8,36.1,24.8,88,53,0,5.46,4.1,230,4.115552
1006.6,1002.5,33.5,24.6,90,61,0,4.2,1.2,250,3.4982192
1006.8,1002.4,33.8,25,88,53,2.9,4.84,2,190,3.4982192
1006.2,1002.8,31.7,25.2,90,65,2.6,3.16,0.4,360,2.2121092
1005.5,1003.5,33,24.3,99,75,2.4,2.99,1.3,190,2.8808864
1007.5,1002.8,33,24.1,99,60,5.1,5.75,8.3,180,4.0126632
1008.5,1003.8,33.7,23,97,55,0,5.96,10.4,110,1.3375544
1007.9,1002.8,35.5,24.3,94,51,0,5.74,8.3,170,1.1832212
1007.2,1002.8,36.3,25.2,93,46,10.9,6.6,7.8,10,3.9097744
1009.2,1005.2,32.5,23.3,99,63,0.7,4.25,4.7,220,3.6525524
1010.2,1005.8,33.4,23.6,96,62,22.8,8.67,7.1,200,4.3213296
1011.2,1008.2,29.5,23.6,99,77,8.5,2.24,0.1,190,1.8519984
1010.9,1007.5,30,23.3,99,79,3.5,3.3,0,180,1.7491096
1008.9,1005.3,27,23.3,99,81,0.9,1.12,0,10,2.314998
1008.2,1003.8,33.2,23.8,97,62,2.3,4.66,6.7,220,1.7491096
1007.5,1003.1,33.7,24.5,98,62,0.3,4.18,6,240,1.1832212
1008.2,1003.5,34.6,24.2,99,64,0,6,4.9,180,2.7779976
1007.5,1003.5,31.7,24.1,97,70,30.5,7.35,2.4,170,2.7265532
1008,1004.1,31.2,23.9,97,67,1,4.65,5.9,200,3.2924416
1008.9,1005.2,31.9,24.9,89,62,0.2,3.08,4.1,210,2.4693312
1009.6,1005.5,34.3,24.7,96,65,0.1,4.82,3.7,190,2.2121092
1008.2,1004.5,32,24.9,88,63,0.8,3.98,2.3,250,2.57222
1008.9,1004.8,33.7,24.5,95,62,31.4,5.9,5.2,190,2.829442
1010.2,1006.2,35.2,24,99,59,0,6.32,8.9,230,3.601108
1011.2,1007.2,34.3,24.9,97,61,11.1,6.66,6.7,180,1.8519984
1010.9,1006.5,34.5,23.4,99,62,0,6.5,9.8,20,1.28611
1009.2,1004.5,32,24.2,94,69,0,3.69,5.3,200,3.0352196
1010.2,1005.5,34.4,25.1,95,65,0.6,4.83,7.7,160,2.8808864
1010.2,1003.8,35,24.9,95,60,17.8,8.15,6.8,360,3.9097744
1008.9,1003.8,34.6,22.6,99,59,0.9,4.45,7,220,3.343886
1008.9,1004.5,31.4,24.9,97,64,7.9,4.5,4.9,170,2.2635536
1010.2,1005.5,33.2,24.4,97,66,8.5,6.4,8.7,230,3.0352196
1011.2,1006.8,31.8,23.7,99,70,9.4,5.38,4.5,180,4.1669964
1012.6,1008.9,29,23.3,99,81,0.1,1.74,0,220,1.800554
1011.6,1006.8,32,23.9,96,66,8.3,4.75,4.5,120,2.057776
1011.9,1007.9,33.5,23.2,98,64,12.7,4.89,4.5,360,1.3375544
1011.6,1006.8,32.2,22.4,99,67,0,4.42,6,170,2.3664424
1010.9,1005.5,34.7,25.4,94,55,0,4.94,4.4,230,2.7265532
1008.2,1004.1,33.1,23,93,60,0,4.64,4.8,220,1.4918876
1008.2,1003.5,34.2,24,95,57,0,4.5,8.4,200,2.7779976
1009.6,1004.5,34.7,24.5,98,58,22,7.36,8.1,170,1.1832212
1010.6,1006.5,31.8,23.9,98,82,11.5,4.45,2.2,170,2.3664424
1011.9,1007.9,33.1,23.9,98,63,0,3.61,6.1,220,1.4918876
1012.6,1008.2,32.8,24.9,98,74,0.8,4.55,5.6,240,2.6236644
1013.3,1007.2,33.6,24.3,98,62,18.2,7.77,9.5,190,2.5207756
1011.2,1005.6,32.1,23.5,99,74,12.3,5.22,2.5,320,2.1092204
1009.6,1004.5,30.5,22.8,97,77,38.2,8.06,0.9,40,3.343886
1009.9,1005.2,29.7,23,99,78,19.5,1.49,0.7,20,1.800554
1011.2,1007.2,31.6,23.1,99,68,6.1,4.46,3.1,10,2.829442
1011.9,1006.8,31.2,23.5,99,70,5.7,3.4,2.6,190,1.543332
1009.6,1005.2,28.1,23.5,98,78,0,2.72,1.2,200,3.0352196
1009.9,1004.5,32.2,22.7,98,62,1.8,4.42,6.4,350,1.800554
1009.6,1004.5,34,22.5,99,65,0,4.88,8.4,70,1.028888
1008.9,1003,35.6,22.6,95,43,0,5.57,10.3,280,0.6687772
1006.2,1001.1,32.8,22.5,96,65,0,4.99,8.2,240,1.800554
1004.1,1000.8,30.5,24,96,79,0,1.64,0,200,1.28611
1008.2,1004.5,33.4,24,99,63,0,4.08,5.1,210,1.8519984
1009.6,1004.8,33,23.6,97,69,5,3.33,3.2,210,0.8231104
1009.9,1004.7,31.6,23.3,98,72,0,3.23,5,180,1.2346656
1009.2,1003.5,34,23.7,96,61,0.8,4.68,8.6,140,1.7491096
1009.6,1005.5,31,22.2,97,71,0,3.12,3.8,210,3.2924416
1010.6,1006.2,32.2,22.7,99,61,0,4.71,4.6,230,3.8068856
1011.9,1006.5,31.9,22.4,96,61,0,4.93,7.6,230,2.314998
1012.6,1007.5,33.5,23.2,94,60,0,5.57,9.2,200,1.4404432
1012.6,1008.2,34.6,23,96,50,0,5.21,8.5,160,1.1832212
1012.9,1007.2,34.1,23.7,93,60,0,3.76,6.4,10,1.1832212
1012.6,1006.8,35.3,24,97,41,8.2,6.71,9.2,80,0.771666
1012.3,1007.9,32.9,23.8,96,57,0.7,3.57,6.1,40,1.7491096
1011.9,1006.5,34.5,23,96,35,0,6.59,8.4,220,3.8068856
1011.6,1005.8,34.1,22.3,91,34,0,5.14,9.6,10,0.8231104
1011.6,1006.2,32.8,19.5,88,36,0,3.84,10.2,10,0.8231104
1011.9,1006.2,34.1,21,90,34,0,5.94,10.3,340,1.028888
1011.6,1005.8,33,19.4,89,33,0,5.14,9.9,180,1.2346656
1010.9,1005.8,32.5,19.7,86,34,0,4.76,8.1,110,0.4629996
1011.2,1006.2,33.4,20.3,88,35,0,5.64,9.4,330,2.2635536
1010.9,1004.5,34,19,86,33,0,5.15,10,350,2.4693312
1010.9,1007.2,30.2,22.3,85,51,0,2.81,0.1,10,0.9259992
1012.3,1007.5,32.2,23.2,89,54,2.5,2.92,2.4,60,0.4629996
1011.9,1007.2,33.8,22.9,96,51,0.4,4.46,3.4,40,1.9548872
1011.6,1006.5,32.5,22.9,97,59,7.8,3.37,4.1,10,2.3664424
1011.9,1006.2,33.6,23,99,51,0,3.69,5.7,270,0.9259992
1012.3,1007.9,32.8,23.3,97,60,8.8,7.48,8.8,280,3.2409972
1013.3,1010.2,33.1,24,98,58,0.7,10.64,3.7,20,1.543332
1014,1008.2,32.1,22.9,96,56,0,4.5,6.7,120,1.2346656
1012.6,1005.8,33.4,23.3,97,55,0,5.24,8,170,1.028888
1011.6,1005.2,33.4,24.1,95,55,0,5.8,9.4,200,1.7491096
1011.2,1006.2,34.1,23.3,93,50,0,5.19,9,170,0.9259992
1011.9,1005.5,37.9,23.1,92,47,0,5.31,7.9,360,2.9837752
1009.9,1005.8,33.5,24.6,91,57,0.2,3.96,3.3,150,2.2121092
1012,1007.9,33.9,24.6,95,63,3.5,2.71,3.7,240,3.6525524
1014,1010.6,31.6,24.4,91,61,0,3.61,4.9,230,2.057776
1014.3,1010.6,31.5,23.3,96,59,0,4.39,5.6,20,2.6236644
1014,1008.5,32.8,20.7,98,43,0,5.17,10,360,1.4404432
1013.6,1008.5,32.6,21.2,94,43,0,4.61,7.7,40,1.8519984
1014,1008.9,32.9,20.4,95,43,0,4.92,10.2,80,0.9259992
1013.3,1007.9,32.2,20.4,92,43,0,4.79,10.4,170,1.9548872
1012.9,1007.9,33.7,20.9,94,46,0,4.63,10.1,160,0.4629996
1013.6,1008.5,33,21.9,93,41,9,5.1,9.7,180,1.0803324
1016,1010.6,31,23,97,62,0.4,2,2.3,140,0.6687772
1014.3,1008.9,32.9,22.3,96,50,0,4.46,8.6,20,1.4918876
1014.6,1010.2,32.1,23.1,94,48,0,4.93,9.2,180,2.057776
1015.3,1009.6,32.7,21.6,96,50,0,4.13,9.7,70,2.1092204
1014.6,1009.2,33.5,21.5,97,40,0,4.64,10.1,180,0.5658884
1015.3,1010.2,34,22.1,96,51,0.1,5.02,8.4,10,1.800554
1015.3,1010.6,31.9,20,97,52,0,5.02,7.7,360,2.9323308
1016,1012.3,25.7,20.7,90,63,0,3.39,0.3,360,1.28611
1016,1010.6,30.8,20,93,43,0,6.07,9.8,10,1.4918876
1016.6,1010.9,31.7,19.2,89,43,0,5.3,8.9,360,1.543332
1015.6,1009.9,31.5,17.4,95,39,0,4.9,9.7,20,0.6687772
1015,1009.6,31.5,18.2,95,36,0,4.74,10,110,0.5658884
1016,1010.9,31.7,18.5,92,38,0,4.86,10.1,100,0.771666
1016.3,1010.9,31.8,18.7,93,36,0,4.84,10.2,30,0.5658884
1017,1011.9,30.6,17,90,41,0,4.28,9.4,10,0.771666
1016.3,1011.2,29,17.2,93,41,0,4.05,8.9,140,0.5658884
1014.3,1009.2,29.9,17.8,91,37,0,3.61,3.8,10,0.8745548
1015.3,1009.9,30.8,15.6,91,32,0,5.54,9.5,10,0.771666
1015,1009.6,32,16.3,93,34,0,3.79,9,40,0.9774436
1013.3,1006.8,34,18.4,92,34,0,4.29,10,30,0.5658884
1011.2,1005.5,34.5,20.6,93,40,0.2,3.58,9.9,140,0.4629996
1011.6,1006.4,33.5,22.4,95,44,0,5.62,8.4,150,0.4629996
1011.9,1007.2,33.2,21.5,97,41,0,4.76,9.6,170,0.771666
1012.3,1007.5,33.5,22,94,45,0,4.78,9,100,0.771666
1013.3,1009.2,31.9,20.5,96,37,8.8,4.62,5.7,360,1.6462208
1016.3,1012.3,22,20.9,97,78,5.7,1.74,0,10,1.543332
1016,1012.9,27.3,20.1,97,59,0,2.15,0.9,30,0.6687772
1015.3,1010.9,29.5,19.4,95,52,0,2.87,2.6,20,0.771666
1013.3,1007.9,31.6,18.6,97,40,0,2.56,9.5,270,0.5658884
1012.3,1007.2,32.8,18.7,96,39,0,4.6,9.4,40,0.6687772
1011.9,1007.2,33.8,19.8,95,39,0,4.78,9.4,350,0.8745548
1013.3,1009.2,29.2,22.4,91,65,2.1,2.32,1.3,340,0.6687772
1014.6,1010.2,27.4,22.3,98,69,0,1.44,0.1,160,0.9774436
1015.3,1009.6,30.8,21.7,97,54,0,2.85,4.7,190,0.771666
1014,1008.9,32.2,21,98,51,0,3.82,9.1,180,1.543332
1014,1008.9,33.3,20.7,97,41,0,2.37,9.2,90,1.3375544
1015.6,1010.2,33.4,21.3,95,46,0.2,3.17,9.1,10,1.28611
1016,1010.9,31.8,22.7,98,53,0,4.05,7.7,210,2.829442
1016,1010.6,32,21.4,98,44,0,4.06,9.4,190,1.7491096
1016.6,1011.9,31.3,22.7,93,47,0,4.99,8.9,220,1.9548872
1017.7,1011.9,32.6,21.2,94,45,0,3.85,8.7,140,1.28611
1017.3,1012.3,29.5,21.9,89,48,0,4.99,7.6,190,2.57222
1017.9,1013.6,27.9,21.6,87,47,0,4.67,5.8,180,2.1606648
1019.7,1015.6,27.9,19.9,69,48,0,5.5,7.3,10,6.43055
1020.1,1014.6,27.2,15.3,80,37,0,4.38,7.8,10,7.71666
1020.4,1014.6,28.5,13.6,91,33,0,4.4,9.3,20,3.601108
1019.4,1014,27.7,13.2,90,32,0,4.52,9.3,10,3.0352196
1018.4,1013.6,28.3,13,80,34,0,5.65,4.4,360,8.745548
1019,1015,26.5,21.9,44,34,0,5.67,0.3,360,7.1507716
1018.7,1014.6,24.8,19.5,65,38,0,2.72,0.1,10,7.4079936
1017.7,1012.9,25.3,18.9,77,47,0,2.46,0,30,1.1317768
1015.6,1011.2,27.8,19.7,80,48,0,2.9,0.2,20,1.6976652
1014.3,1007.9,30.3,15.8,95,31,0,3.59,8.2,50,0.6173328
